H.F.Amiel|Học... Học để là chính mình, và học để từ bỏ với vẽ thanh cao những gì không phải là mình.
Khuyết danh|Gia đình là gì? Đó là tình mến sợ cha, tình yêu mến mẹ, kính trọng thán phục nhân đức của cả cha lẫn mẹ, bỏ qua lỗi lầm, ghi nhớ công ơn, thông cảm nỗi đau khổ, cảm kích sự hy sinh của cha mẹ.
Steve Maraboli|Ngày hôm nay hãy tham gia vào giấc mơ của mình. Ngày mới này mang đến vô số cơ hội. Hãy hành động vì những giấc mơ bạn đã ấp ủ trong tâm tưởng bao lâu nay. Hãy nhớ rằng, thành công là điều mà bạn trải nghiệm khi hành động phù hợp với thành công.
Steve Maraboli|Một ngày mới: Hãy đủ cởi mở để nhìn thấy cơ hội. Hãy đủ khôn ngoan để cảm thấy biết ơn. Hãy đủ can đảm để hạnh phúc.
Alexander Graham Bell|Khi một cánh cửa đóng lại, cánh cửa khác mở ra; nhưng chúng ta thường nuối tiếc nhìn mãi cánh cửa đóng đến nỗi ta không thấy cánh cửa đã mở ra.
Victor Hugo|Tương lai có rất nhiều tên: Với kẻ yếu, nó là Điều không thể đạt được. Đối với người hay sợ hãi, nó là Điều chưa biết. Với ai dũng cảm, nó là Cơ hội.
Kobe Bryant|Mọi thứ tiêu cực - áp lực, thử thách - đều là cơ hội để tôi vươn lên.
Dale Carnegie|Hãy nắm lấy cơ hội! Tất cả cuộc đời là cơ hội. Người tiến xa nhất thường là người sẵn sàng hành động và chấp nhận thách thức.
Brian Tracy|Bạn càng tìm kiếm sự bảo đảm, bạn càng ít có nó. Nhưng bạn càng tìm kiếm cơ hội, bạn càng có thể đạt được sự bảo đảm mà mình muốn.
A. A. Milne|Thời gian vội vã lao đi; Cơ hội nảy sinh rồi tan biến... Vậy mà bạn vẫn chờ đợi và không dám thử - Con chim có đôi cánh mà không dám bay lên.
Benjamin Franklin|Để thành công, hãy chớp lấy cơ hội cũng nhanh như khi vội vã kết luận.
Mark Twain|Tôi hiếm khi nhận ra được cơ hội cho tới khi mà nó không còn là cơ hội.
Frank Tyger|Hãy học cách lắng nghe. Cơ hội có thể gõ cửa rất khẽ khàng.
Steve Jobs|Anh muốn bỏ phần còn lại của cuộc đời mình đi bán nước đường hay anh muốn có cơ hội thay đổi thế giới? - Câu hỏi nổi tiếng của Steve Jobs dành cho John Sculley, giám đốc trước của Apple.
Khuyết danh|Thử thách càng lớn, cơ hội càng lớn.
Robert Collier|Cơ hội thành công của bạn trong mọi chuyện luôn có thể được đo bằng niềm tin của bạn vào chính bản thân mình.
Khuyết danh|Người bi quan luôn tìm thấy khó khăn trong mọi cơ hội. Người lạc quan luôn nhìn được cơ hội trong từng khó khăn.
Khuyết danh|Hãy tập trung nỗ lực cao nhất vào những cơ hội tốt nhất chứ không phải những rắc rối tồi tệ nhất.
Douglas MacArthur|Trên trái đất này không có sự bảo đảm; chỉ có cơ hội.
Jack Ma|Nếu bạn không bỏ cuộc, bạn vẫn còn cơ hội. Bỏ cuộc là thất bại lớn nhất.
William Arthur Ward|Cơ hội giống như bình minh. Nếu bạn chờ quá lâu, bạn sẽ bỏ lỡ nó.
Edward Bulwer Lytton|Cơ hội đến với tất cả mọi người, nhưng ít người có thể nắm bắt được cơ hội.
Khuyết danh|Anh ta chưa bao giờ thành công lắm. Khi cơ hội gõ cửa, anh ta phàn nàn về tiếng ồn.
Albert Einstein|Nằm giữa khó khăn là cơ hội.
Winston Churchill|Người lạc quan luôn nhìn thấy cơ hội trong mọi hiểm nguy, còn kẻ bi quan luôn nhìn thấy hiểm nguy trong mọi cơ hội.
Hồ Chí Minh|Trời có bốn mùa: Xuân, Hạ, Thu, Đông. Đất có bốn phương: Đông, Tây, Nam, Bắc. Người có bốn đức: Cần, Kiệm, Liêm, Chính. Thiếu một mùa, thì không thành trời. Thiếu một phương, thì không thành đất.Thiếu một đức, thì không thành người.
Ngạn ngữ Tây Ban Nha|Ngay cả khi trong túi hết tiền, cái mũ trên đầu anh cũng phải đội cho ngay ngắn.
Hồ Chí Minh|Cần, Kiệm, Liêm, là gốc rễ của Chính. Nhưng một cây cần có gốc rễ, lại cần có cành, lá, hoa, quả mới là hoàn toàn. Một người phải Cần, Kiệm, Liêm, nhưng còn phải Chính mới là người hoàn toàn.
Hồ Chí Minh|Những người trong các công sở đều có nhiều hoặc ít quyền hành. Nếu không giữ đúng Cần - Kiệm - Liêm - Chính thì dễ trở thành hủ bại, biến thành sâu mọt của dân.
Hồ Chí Minh|Tự mình phải chính trước, mới giúp được người khác chính. Mình không chính, mà muốn người khác chính là vô lý.
Ngạn ngữ Pháp|Lương thiện là đồng tiền duy nhất có thể đi khắp thế giới.
George Washington|Không có đạo đức, và không có sự chính trực, những tài năng vượt trội nhất và những thành tựu rực rỡ nhất không bao giờ có thể nhận được sự tôn trọng và thu được lòng kính mến của nhóm người có giá trị nhất trong nhân loại.
Sidney Mohede|Tài năng, kỹ năng hay tài hùng biện, dù nhiều bao nhiêu cũng không thể chống đỡ ta như sự chính trực, chí khí và thái độ.
W. Clement Stone|Hãy can đảm nói không. Hãy can đảm đối mặt với sự thật. Hãy làm điều đúng vì như thế là đúng. Đó là những chiếc chìa khóa kỳ diệu mở cánh cửa vào cuộc đời chính trực.
Nguyễn Trãi|Phú quý lòng hơn phú quý danh.
Hồ Chí Minh|Công trạng của cá nhân chủ yếu là nhờ tập thể mà có. Vì vậy người có công trạng không nên tự kiêu mà cần khiêm tốn. Khiêm tốn và rộng lượng, đó là hai đức tính mà người cách mạng nào cũng phải có.
Hồ Chí Minh|Do chủ nghĩa cá nhân mà sinh ra đòi hỏi hưởng thụ, đãi ngộ. Người ta ai cũng muốn ăn ngon mặc đẹp, nhưng muốn phải cho đúng thời, đúng hoàn cảnh. Trong lúc nhân dân ta còn thiếu thốn mà một người nào đó muốn riêng hưởng ăn ngon mặc đẹp, như vậy là không có đạo đức.
Barack Obama|Một giọng nói có thể thay đổi cả căn phòng, và nếu một giọng nói có thể thay đổi cả căn phòng, nó có thể thay đổi một thành phố, và nếu nó có thể thay đổi một thành phố, nó có thể thay đổi một bang, và nếu nó có thể thay đổi một bang, nó có thể thay đổi một đất nước, và nếu nó có thể thay đổi một đất nước, nó có thể thay đổi cả thế giới. Giọng nói của bạn có thể thay đổi thế giới.
Jean Jacques Rousseau|Người tầm thường không tin vào các cá nhân vĩ đại.
Barack Obama|Việc đọc rất quan trọng. Nếu bạn biết cách đọc, cả thế giới sẽ mở ra cho bạn.
Barack Obama|Bạn không thể để thất bại định hình mình. Bạn phải để thất bại dạy mình.
Barack Obama|Thay đổi chẳng bao giờ dễ, nhưng luôn luôn có thể.
Barack Obama|Tương lai trao thưởng cho những ai tiến lên phía trước. Tôi không có thời gian để cảm thấy tiếc nuối cho mình. Tôi không có thời gian để phàn nàn. Tôi sẽ tiến về phía trước.
Barack Obama|Tập trung cả đời vào việc kiếm tiền cho thấy sự nghèo nàn về tham vọng. Bạn yêu cầu quá ít ở bản thân. Và điều đó sẽ khiến bạn không thỏa mãn.
Barack Obama|Khi còn thở, ta còn hy vọng.
Barack Obama|Cách tốt nhất để không cảm thấy vô vọng là đứng dậy và làm gì đó. Đừng đợi chuyện tốt đẹp xảy ra với mình. Nếu bạn ra ngoài và khiến điều gì đó tốt đẹp xảy ra, bạn sẽ đổ đầy thế giới với hy vọng, bạn sẽ đổ đầy bản thân mình với hy vọng.
Barack Obama|Thay đổi xuất hiện nhờ những người bình thường làm những chuyện phi thường.
